,product_name,prev_price,curr_price,special_offer,image_url,category,sub-category
0,0157 Power Pro Bar Wild Berry Cheesecake No Sugar Added 50g,€ 1.80,€ 1.73,NA,https://www.greens.com.mt/media/products/0134/5200040119747.jpg,Organic,Dietary Food
1,0158 Power Pro Bar Chocolate Mud Cake No Sugar Added 50g,€ 1.80,€ 1.73,NA,https://www.greens.com.mt/media/products/0134/5200040119761.jpg,Organic,Dietary Food
2,0163 Power Pro Bar Coconut Smoothie No Sugar Added 80g,€ 1.80,€ 1.73,NA,https://www.greens.com.mt/media/products/1032/5200040119952.jpg,Organic,Dietary Food
3,0164 Power Pro Bar Forest Fruit Smoothie No Sugar Added 80g,€ 1.80,€ 1.73,NA,https://www.greens.com.mt/media/products/1032/5200040119976.jpg,Organic,Dietary Food
4,0768 Wet Hankies Grn App,€ 1.92,€ 1.67,NA,https://www.greens.com.mt/media/products/1031/5201263007682.jpg,Household,Baby Wipes
5,0770 Wet Hankies Orange,€ 1.92,€ 1.67,NA,https://www.greens.com.mt/media/products/1031/5201263007705.jpg,Household,Baby Wipes
6,1.3lt-sq Food/s 80100590171 Hei1713,€ 3.00,€ 2.91,NA,https://www.greens.com.mt/media/products/0144/8010059017135.jpg,Household,Kitchen Essentials
7,1/2” Ppr Tube Cutter Mh!,NA,€ 5.35,NA,https://www.greens.com.mt/media/products/0159/7506240635970.jpg,Homegarden,Hardware and Tools
8,1001 Carpet Fresh Soft Jasmin & Linen 300ml,€ 5.03,€ 4.57,NA,https://www.greens.com.mt/media/products/1104/5032227445925.jpg,Household,Air Freshners
9,1001 Carpet Fresh Thai Orchid 300ml,€ 5.03,€ 4.57,NA,https://www.greens.com.mt/media/products/0120/5032227445710.jpg,Household,Carpet Cleaners
10,1001 Carpet Fresh Vanilla Bean & Cedarwood 300ml,€ 5.03,€ 4.57,NA,https://www.greens.com.mt/media/products/0939/5032227006768.jpg,Household,Air Freshners
11,1001 Carpet Mousse 350ml,NA,€ 3.95,NA,https://www.greens.com.mt/media/products/1200/5032227443044.jpg,Household,Carpet Cleaners
12,1001 Carpet Stain Remover 500ml,€ 5.03,€ 4.57,NA,https://www.greens.com.mt/media/products/1159/5032227449077.jpg,Household,Air Freshners
13,1565 Victory Lager Beer Cans 500ml,€ 1.36,€ 1.28,NA,https://www.greens.com.mt/media/products/1025/5352202167261.jpg,Winecellar,Beers
14,15cm Animotsu Pink Cockatiel,€ 11.95,€ 11.35,NA,https://www.greens.com.mt/media/products/0134/5027148016361.jpg,Household,Valentines
